,date,content
0,2022-10-19 18:16:24+00:00,"@BakarKhod Yep, soon bjp will replace shivraj woth new face as cm of mp."
1,2022-10-19 18:14:28+00:00,"@BJP4MP कोरोना युद्धाओं को बेरोजगार किसने किया
BJP
या 
मामा जी"
2,2022-10-19 18:09:25+00:00,"बीजेपी वाले #रिमोट_वाला_खड़गे ट्रेंड करा रहे हैं। क़ायदे से इन्हें- #चाबी_वाला_नड्डा ट्रेंड कराना चाहिए। असल में नड्डा उतने ही चलते हैं, जितना मोदी-शाह चाबी भरते हैं। @BJP4India 

@RahulGandhi @ASinghINC @INCMP @AASHU_NSUI https://t.co/kQ1yICgDEr"
3,2022-10-19 18:01:26+00:00,"सनतनियो  जहां जहां #कांग्रेस की सरकार है बहां यही बिधर्म की राजनीति हो रही है,हमारी बहने सुरक्षित नही,दुराचारी के हौशले बुलंद हैं, राजस्थान की कांग्रेस सरकार की छत्र छाया में पल रहे हैं गैंगस्टर!अब सनातनियो याद रखना हमको सनातनी सरकार @BJP4India  को ही लाना है
@YogiDevnath2 https://t.co/XBwugTthSb"
4,2022-10-19 17:50:23+00:00,"आज राष्ट्रीय अध्यक्ष श्री @LalSinghArya जी ने संविधान निर्माता भारत रत्न श्रध्देय बाबासाहब डाॅ.भीमराव आंबेडकर जी के राष्ट्रीय स्मारक #चैत्य_भूमि मुंबई में दर्शन एवं श्रृध्दासुमन अर्पित किए।

@BJP4India 
@BJP4Maharashtra 
@BJPSCMorcha https://t.co/c9ipJ2k1QF"
5,2022-10-19 17:38:54+00:00,"@hindutva8550991 @ishivam0707 @pravindubey121 @BJP4MP @OfficeOfKNath @OfficeOfVDS @INCMP @VTankha @AjayVishnoiBJP @MPRakeshSingh Bjp ko 19 saal ho gy... Congress sirf 7-8 mahine thi. MLA Jeet ra tha, 1,2 election tak sahi kaam kia, 3-4th jhute wado ki wajah se jeeta h. Public hi moorkh h bhai kya kroge. Jbp se ek b cabinet minister ni dia bjp ne. To jbp k issues kon batayega cm ko? Islie koi pressure ni h."
6,2022-10-19 17:35:42+00:00,@DrMohanYadav51 @BJP4MP @BJP4India @ChouhanShivraj @vdsharmabjp @JansamparkMP @jdhoshangabad @dmhoshangabad @HitanandSharma @PMuralidharRao @shivprakashbjp @OfficeofSSC बहुत ही शानदार दादा
7,2022-10-19 17:35:42+00:00,@BaggaNeha @AmitShah @BJP4India Jay ho di
8,2022-10-19 17:34:47+00:00,@KumariDiya @BJP4Rajasthan @BJP4India Greetings for the perfect gathering.. https://t.co/FDrqYf01OY
9,2022-10-19 17:33:32+00:00,@KumariDiya @BJP4Rajasthan @BJP4India Jay ho
10,2022-10-19 17:24:52+00:00,@bipin_saheb @Profdilipmandal @AamAadmiParty @BJP4India @INCIndia १००%
11,2022-10-19 17:22:54+00:00,"मध्यप्रदेश के बहुत से साथियों के और Bjp वाले मित्रों के काल आते रहते गुजरात में क्या होगा ।

😂😂 ऐसा लगता हैं में चुनाव प्रभारी हु । 

🙏दोस्तों मे तो छोटा सा आम आदमी पार्टी का कार्यकर्ता हु । 😊😊"
12,2022-10-19 17:14:57+00:00,"वो दिखावा कुछ इस तरह करते हैं हम भोले भाले लोग सही समझने लगते हैं! 
पर इस बार BJP की बातों में नहीं आना है गुजरात में AAP को लाना है!
@AamAadmiParty 
@AAPGujarat
@AYWGujarat_
@ArvindKejriwal 
@raghav_chadha 
@Gopal_Italia https://t.co/G89fRdKJkg"
13,2022-10-19 17:06:48+00:00,@prahladspatel @sabarimalatdb @PMOIndia @JPNadda @BJP4India @BJP4MP @BJP4Keralam @pspoffice 💐💐🇮🇳🇮🇳🙏🙏
14,2022-10-19 17:06:04+00:00,@prahladspatel @lodhi_deen @PMOIndia @JPNadda @BJP4India @BJP4Keralam @pspoffice 💐💐🙏
15,2022-10-19 17:06:03+00:00,"Rape Convict Ram Rahim Out On Parole, BJP Leaders Line Up For Event https://t.co/4nrJDFZtEm"
16,2022-10-19 17:05:27+00:00,@AptosMonkeys @garreeeeb_memer @NCTsmtown @AptosMonkeys @BJP4India
17,2022-10-19 17:02:35+00:00,क्या सही लिखा है ये @TiwariKunj @vivekgautam_bjp @sajjanvermaINC @BSSharma_INC @ABBSYM4mp @vindhyatimes @_YogendraYadav @Dheeraj60788911 @Akhiles94735341 @Rewa https://t.co/Gc5VIaHrsB
18,2022-10-19 17:00:50+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
19,2022-10-19 17:00:46+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/pwH9xcriwP"
20,2022-10-19 16:57:56+00:00,"स्वदेशी अपनाओ
भारत की इकोनॉमी बढ़ाओ 
स्वदेशी अपनाओ
भारत की GDP बढ़ाओ
#ModiMakingIndiaStrong 
@narendramodi
@BJP4India
@ChouhanShivraj
@VishvasSarang
@SVeerabjp https://t.co/geEnqvBB5S"
21,2022-10-19 16:56:13+00:00,@mangusingh_Bjp घर घर मोदी हर घर मोदी
22,2022-10-19 16:52:41+00:00,@ndtv Hurrey..... @BJP4India aap laga denge desh ka
23,2022-10-19 16:45:15+00:00,@HimaSahu4 @BJPGROUP44 @BJYM23721863 @BJYMCGState @DurgBjym @Bhilai_SM_BJP @Bhilai Right didi
24,2022-10-19 16:39:21+00:00,"@ChouhanShivraj 
@OfficeOfKNath
@ASinghINC
#चुरहट_विद्दुत_मंडल
BJP के कुशासन के #परिणामो का कब तक सामना करेगी जनता, #बिजली ना होने से लोग #पानी बिना तरस रहे है ! साथ ही छात्र #पढ़ाई नहीं कर पा रहे ।
यह दृश्य #चुरहट विधानसभा के ग्राम पंचायत क्षेत्र #बडखरा736 का है। https://t.co/L9N8csr0fa"
25,2022-10-19 16:28:45+00:00,@BJP4India @narendramodi https://t.co/apFObFSrD2
26,2022-10-19 16:28:31+00:00,@prahladspatel @sabarimalatdb @PMOIndia @JPNadda @BJP4India @BJP4MP @BJP4Keralam @pspoffice स्वामी अयप्पा जी के श्री चरणों में बारंबार साष्टांग प्रणाम
27,2022-10-19 16:25:57+00:00,@aajtak @sudhirchaudhary BJP ko bhi gyan de diya kar dalle
28,2022-10-19 16:20:08+00:00,@KirenRijiju @BJP4Assam @BJP4India 🙏💐🎉🚩
29,2022-10-19 16:16:28+00:00,"प्रधानमंत्री श्री 
@narendramodi
 के 20 अक्टूबर, 2022 को गुजरात में सार्वजनिक कार्यक्रम।

लाइव देखें: 

• https://t.co/mniwrSIp4x
• https://t.co/fhn7MpZrOO
• https://t.co/SNuUXtagcs
• https://t.co/axZrofEjNt

@BJP4India https://t.co/uRXfhWscm7"
30,2022-10-19 16:12:38+00:00,"आज @BJP4India के लोग आदरणीय @ShashiTharoor जी का जितना शुभचिंतक होने का प्रपंच कर रहे हैं काश उतना चिन्तन श्रद्धेय #लाल_कृष्ण_आडवाणी जी का किए होते तो आज वो बेचारे इस हालत में न होते।
@digvijaya_28
@ASinghINC 
@narendramodi 
@drnarottammisra 
@BJP4MP 
@ChouhanShivraj 
@JPNadda"
31,2022-10-19 16:11:17+00:00,#BJP उस सरकार के साथ कैसे मिल जाये जो दिल्ली में आते ही घोटाले पे घोटेल कर रही दारू के ठेके पे ठेके खोल रही दारू घोटाला कर रही मोहल्ले बर्बाद कर दिया हिंदू के भगवान का अपमान किया क्या कुछ नहीं किया 🤬
32,2022-10-19 15:54:46+00:00,"@Dr_Uditraj @INCIndia @PTI_News BJP पूरे विश्व मे किसी दूसरी पार्टी के अध्यक्ष पद का चुनाव करवाने वाली पहली पार्टी बनी
😜😂😂
#रिमोट_वाला_खड़गे"
33,2022-10-19 15:52:57+00:00,"@republic BJP पूरे विश्व मे किसी दूसरी पार्टी के अध्यक्ष पद का चुनाव करवाने वाली पहली पार्टी बनी
😜😂😂
#रिमोट_वाला_खड़गे"
34,2022-10-19 15:48:57+00:00,@Gss_Views BJP का हिंदू धर्म अलाप महज एक दिखावा है यदि वो वास्तव में हिंदू धर्म के प्रति सजग है तो इन एमएलए के खिलाफ कार्यवाही की जाए अन्यथा यह मान लिया जाए कि उसक हिंदू धर्म तभी जागता है जब ऐसे कार्य दूसरे दलों के नेता करें।
35,2022-10-19 15:48:56+00:00,@romanaisarkhan BJP ही है सब जगह ओर कोई नही मोदी जी
36,2022-10-19 15:42:21+00:00,@bjpanilfirojiya @PMOIndia @CMMadhyaPradesh @BJP4India @BJP4MP @narendramodi @JansamparkMP @JPNadda @vdsharmabjp @AmitShah @ChouhanShivraj @HitanandSharma @PMuralidharRao आप के प्रयास में क्षेत्र का विकास संभव हो रहा हे धन्यवाद सांसद जी
37,2022-10-19 15:35:05+00:00,@yashjain_bjp @prahladpatelfan @prahladspatel @pspoffice 🙏🙏
38,2022-10-19 15:33:21+00:00,"दुनियाभर में बढ़ रही भारतीय आलू की मांग।

आलू के निर्यात में अभूतपूर्व वृद्धि।
@BJP4India @BJP4MP https://t.co/WO1V7EsOv7"
39,2022-10-19 15:27:03+00:00,@BHARGAVABHISHEK @JM_Scindia @BJP4MP @BJP4India Jay ho
40,2022-10-19 15:21:30+00:00,"The scale of indigenisation in Defence production truly depicts India’s journey from vision to outcomes!
@BJP4India @BJP4MP https://t.co/U0dxNORlXZ"
41,2022-10-19 15:21:05+00:00,"कांग्रेस की बड़ी उपलब्धि!

रिमोट कंट्रोल “प्रधानमंत्री” के बाद अब देश की जनता को देखने मिलेगा रिमोट कंट्रोल “कांग्रेस अध्यक्ष”
@BJP4India @BJP4MP https://t.co/lfEsjiNgl1"
42,2022-10-19 15:20:02+00:00,"नए लिफ़ाफ़े मे चिट्ठी पुरानी आई है,
बेटा जी खुश है, माताजी भी मुस्कराई है....!
@BJP4India @BJP4MP https://t.co/UY69JFJ5g5"
43,2022-10-19 15:16:29+00:00,"मध्यप्रदेश करेगा खेलो इंडिया यूथ गेम्स की मेजबानी.
@BJP4India 
@Tejasvi_Surya 
@JPNadda 
@narendramodi 
@AmitShah 
@BJP4MP 
@ChouhanShivraj 
@vdsharmabjp 
@BDSabnani 
@BaggaNeha 
@DrRakeshjadon 
@MukeshTandonBJP 
@iPawandubey 
@THESHUBHAMV 
@MPTourism https://t.co/fstC4YpwQQ"
44,2022-10-19 15:07:13+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
45,2022-10-19 15:07:09+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/JC1A3iYq8u"
46,2022-10-19 15:07:01+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
47,2022-10-19 15:06:56+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/pFbGnNjBph"
48,2022-10-19 15:06:50+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
49,2022-10-19 15:06:46+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/AGZWYDj8c5"
50,2022-10-19 15:06:35+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
51,2022-10-19 15:06:31+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/VYngyafXFS"
52,2022-10-19 15:06:25+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
53,2022-10-19 15:06:20+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/luHtNhSDGV"
54,2022-10-19 15:06:10+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
55,2022-10-19 15:06:04+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/rMr3Nho3Gu"
