,date,content
0,2022-10-19 18:32:27+00:00,"@BJP4Gujarat BJP ke uttar pradesh mein
Shiksha ke Mandir mein
illegal Sharab ka Adda

https://t.co/AC444mxAjP"
1,2022-10-19 18:31:32+00:00,દેશના વડાપ્રધાનશ્રી નરેન્દ્ર મોદી અને ગુજરાતના પનોતા પુત્ર ને આજે જુનાગઢ ની ભુમી માં મળવાનું થયું એક નવી ઉર્જા નો સંચાર થયો @narendramodi @CRPaatil @VinodChavdaBJP @MansinghP_BJP @dr_vaghasia @b_vaju https://t.co/fu6fMTF4o6
2,2022-10-19 18:31:28+00:00,"कांग्रेस ने अपना अध्यक्ष लोकतांत्रिक तरीके से चुन लिया। भारतीय फर्जी पार्टी @BJP4India  कब अपना अध्यक्ष कमरे से बाहर आकर चुनेगी??
@DeependerSHooda 
@BhupinderShooda 
@TeamDeepender 
@RahulGandhi 
@SupriyaShrinate 
@Pawankhera 
@Jairam_Ramesh https://t.co/3WRIjeQ11K"
3,2022-10-19 18:31:07+00:00,@Ravichauhan_3 @BJP4India @AamAadmiParty https://t.co/hJcj3SMRx7
4,2022-10-19 18:30:43+00:00,"@idineshdesai Ek baap ka hai to शर्त लगाले!

अगर आ गई तो तू bjp छोड़ कर aap में आयेगा?

बोल है मंज़ूर या है दम?"
5,2022-10-19 18:30:40+00:00,"Bjp ka school ke Mandir mein
illegal Sharab ka Adda https://t.co/5od38cTcJY"
6,2022-10-19 18:30:37+00:00,"@adeshguptabjp Kasam se 4 baar akhein mal k ye tweet dekha hai ki BJP k neta k handle se kabhi school open ki baat hui ho, guptaji kyu majak udate ho apna sabke samne ye sab karke ....😂😂"
7,2022-10-19 18:30:26+00:00,सच ही कहा है सीखने की कोई उम्र नहीं होती @msisodiaजी की शिक्षा क्रांति को देखते हुए आज@PMOIndiaउन्हीं के नक्शे कदम पर चल रहे हैं।इन तस्वीरों को देखने से एक बात तो सच साबित होती है कि अब राजनीति आम लोगों की मुद्दों आधारित होने लगी है @BJP4India @ArvindKejriwal @raghav_chadha https://t.co/hVff2dVxTK
8,2022-10-19 18:30:16+00:00,@FactsAnalyst @Dr_Uditraj @INCIndia कहने को तो अध्यक्ष पद के लिए चुनाव अवश्य हुआ है परंतु प्रतिभा को दर किनार कर परिवार के तलवे चाटने वाले की विजय हुई जिससे आपके संगठन के भविष्य के बारे में आपको सोचना है @BJP4India को नहीं।
9,2022-10-19 18:29:09+00:00,"बीजेपी विधायक ललन पासवान का विवादित बयान, 'मुस्लिम लक्ष्मी नहीं पूजते तो क्या अमीर नहीं '

Watch : https://t.co/FA4nzb78y8

#BJP #LalanPaswan #Bharat24
@garg_amrita https://t.co/oR4o4ciHPY"
10,2022-10-19 18:28:48+00:00,"Bihar: अब तेजस्वी के साथ खेला कर सकते हैं नीतीश, फिर आ सकते हैं BJP के पाले में, PK का दावा https://t.co/JbRK3kDuPQ"
11,2022-10-19 18:28:20+00:00,@ssr99 @sardesairajdeep @SupriyaShrinate Any song &amp; dance by him? Zero debates as he is only promoting peaceful! Why @BJP4India @Shehzad_Ind @RajatSethi86 not exposing him for his double standards &amp; one sided debates. https://t.co/UQ9NySDiki
12,2022-10-19 18:28:13+00:00,जो सरकार खुद नशे में है वो क्‍या नशाबंदी करेगी… जबलपुर में कमलनाथ का BJP पर तंज https://t.co/LAwNzcrAaR
13,2022-10-19 18:27:51+00:00,@amitmalviya Any election for Bjp president ??
14,2022-10-19 18:26:31+00:00,@ChanakyaSaid @ShyamMeeraSingh Bhai ye BJP hai kahi nadda ney sun liya to gadda mar lega teri
15,2022-10-19 18:25:36+00:00,@AmitShah Anti hindu BJP doing nothing against kejriwal instead Delhi police helping kejriwal agenda। https://t.co/MdwtT6upoO
16,2022-10-19 18:25:21+00:00,@AMISHDEVGAN BJP me ky hai btao
17,2022-10-19 18:25:20+00:00,"15 अगस्त 2022 को, बिलकिस बानो के सामूहिक बलात्कार और उसके 3 साल के बच्चे की हत्या के लिए दोषी ठहराए गए 11 लोगों को दोषी ठहराया गया और डबल आजीवन कारावास की सजा सुनाई गई, गुजरात की गोधरा जेल से मुक्त हो गई
#BJP @PMOIndia 
@SCJudgments 
@GujaratPolice @ravishndtv @ndtv @ndtvindia https://t.co/Wj6TzHqb8m"
18,2022-10-19 18:24:52+00:00,आज @BJP4India के राष्ट्रीय महामंत्री आदरणीय @tarunchughbjp जी भाई साहब के विशेष आमंत्रण पर उनके आवास में आयोजित दीपावली मिलन समारोह में भेंट कर आशीर्वाद प्राप्त किया 🙏 https://t.co/qH6sla76pY
19,2022-10-19 18:24:21+00:00,"Great msg given by South actor @Vijay

@PMOIndia @MoHFW_INDIA @DeptConsumerAff
@BBCHindib @consaff @aajtak @AamAadmiParty @BJP4India @INCIndia @RahulGandhi @IndianExpress @htTweets @the_hindu
@ABPNews @EconomicTimes
@IndiaToday
https://t.co/IAO3OXESqy"
20,2022-10-19 18:23:09+00:00,"@BJP4Delhi तो फिर प्रधानमंत्री बनने के बाद कि फ़ोटो क्यों दिखा रहे हो

दिल्ली वाली BJP यूनिट के बस की कुछ नही है"
21,2022-10-19 18:22:44+00:00,@KushRajani @AamAadmiParty @narendramodi @BJP4India Diwali is festival of light not sound
22,2022-10-19 18:22:31+00:00,@BJP4India @PreetyAgarwaal @MrsGandhi @smritiirani @ManojTiwariMP @narendramodi सच मे गलत बात है ये तो 😂 https://t.co/CPcYppMozz
23,2022-10-19 18:22:20+00:00,Ye BJP wale kar kya rahe hai.. ab to khule mei ho raha hai sab.. https://t.co/OeXIvqbsi8
