,date,content
0,2022-10-19 18:10:31+00:00,"@sambitswaraj @narendramodi एक ज़माना था जब देश में बलात्कारी पकड़े जाते थे
अब भाजपा का राम राज्य है बलात्कारी छोड़े जा रहे हैं
कबूतर छोड़े जा रहे हैं
चीते छोड़े जा रहे हैं
जुमले छोड़े जा रहे हैं
बलात्कारी छोड़े जा रहे हैं
BJP बलात्कारी जोड़ो पार्टी"
1,2022-10-19 18:10:19+00:00,@Anzel_Blosom @RamPratapS_Bjp @TheRudra1008 @MaheshL18767671 @GosaviPtashant @Shivangi__Ts @DontMess_Around 🚩🙏🔱 हर हर महादेव 🔱🙏🚩
2,2022-10-19 18:08:28+00:00,BJP’s Mahila Morcha team that will campaign in Gujarat. https://t.co/ppTpxtEU74
3,2022-10-19 18:05:00+00:00,@BjpMajoka @rashtrapatibhvn @VasundharaBJP @AmitShah @narendramodi @OmMathur_bjp @chshekharbjp जन्मदिन की हार्दिक शुभकामनाएं
4,2022-10-19 18:04:16+00:00,@SumanChiragDelh @BJP4Delhi @M_Lekhi @OfficeOfAdeshG @Rajan_Tewari @PrashantshBjp @siddharthanbjp @yogitasinghbjp @alka_gurjar @adeshguptabjp @BJP4India आप सभी लोगों को दीपावली की अग्रिम बधाई 🙏
5,2022-10-19 18:03:33+00:00,@danishazadbjp @narendramodi @PMOIndia @myogiadityanath @CMOfficeUP @UPGovt @BJP4India @BJP4UP https://t.co/NUzwYrhoxO
6,2022-10-19 18:03:11+00:00,@danishazadbjp @narendramodi @PMOIndia @myogiadityanath @CMOfficeUP @UPGovt @BJP4India @BJP4UP Jai ho
7,2022-10-19 18:02:52+00:00,"RSS, Bajrang Dal, VHP, Hindu Mahasabha, Hindu Yuva Vahini, Hindu Sena, BJP IT CELL, Sudarsan News, Pushpendra Kulshreshtha"
8,2022-10-19 18:02:31+00:00,@vijaypathakbjp @narendramodi @BJP4India @BJP4UP जय हो 💐
9,2022-10-19 18:02:28+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP जय श्री राम
10,2022-10-19 18:02:11+00:00,"Punjab University के छात्र संघ चुनाव में, AAP के छात्र विंग CYSS ने BJP की छात्र इकाई ABVP के कैंडिडेट को हराकर हासिल की जीत।

CYSS के आयुष खटकर को पंजाब यूनिवर्सिटी का अध्यक्ष बनने पर ढेर सारी शुभकामनाएँ।

देशभर के युवाओं की आस और विश्वास AAP हैं। https://t.co/yj77zQ59HG https://t.co/irHQwmowxw"
11,2022-10-19 18:01:03+00:00,BJP is insulting one of the tallest Dalit leader in India by trending #रिमोट_वाला_खड़गे
12,2022-10-19 18:00:25+00:00,@brajeshpathakup @PMOIndia @BJP4India @BJP4UP @CMOfficeUP प्रणाम चाचा जी 🙏💐🙏🥰
13,2022-10-19 17:57:22+00:00,"@KreatelyMedia He is telling truth,bjp deceiving nation without dismantling roots of jihadies propogating peace in jk and promoting tourism to nurture valley's anti india unreliable citizens"
14,2022-10-19 17:57:09+00:00,@Munnidevi_BJP जय श्री राम
15,2022-10-19 17:56:26+00:00,"@Uppolice की मानवता भी देखिए। यह वही पुलिस है जिसको समाज अपने स्वार्थ भरे निर्णय से देखता हैं। गर्व है आप में, 
गुण्डो को सबक और जरूरत मंद की मदद l
 यहीं तो #भाजपा_सरकार  हर आम नागरिक का विश्वास। @BJP4India @BJP4UP @myogiadityanath @brajeshpathakup @Bhupendraupbjp @CMOfficeUP https://t.co/Y3xLoKopSa"
16,2022-10-19 17:56:03+00:00,@Mayawati Bsp खत्म होने के कगार पर है और कुछ बचाना है तो सपा से मत लडिए bjp से लड़िए।
17,2022-10-19 17:56:02+00:00,@AamAadmiParty @narendramodi @BJP4India 2024
18,2022-10-19 17:55:45+00:00,@Mayawati kuch seat jeetkar bjp ko majboot karna hai.
19,2022-10-19 17:50:28+00:00,"Jabalpur News: Fake letterpad in the name of Narsinghpur BJP MLA, case registered in police https://t.co/lKFhTdgiKh"
20,2022-10-19 17:50:26+00:00,"इस देश का भगवान ही मालिक है । 
यहां अंग्रेज़ और मुगल ऐसे ही राज नहीं कर गए ......न जाने कब देश के कुछ लोग मानसिक गुलामी से बाहर आ पाएंगे ।
@BJP4India @bjp 
@ https://t.co/TrTlxrjjJJ"
21,2022-10-19 17:46:01+00:00,"@SavitaVrma At this rate bjp will form govt 
Just need 18 or so to break and join it like it was in madhya pradesh"
22,2022-10-19 17:44:30+00:00,@nmanikandaprab4 @Nivshetty @NehaShalini2 @SheetalPronamo @Anubha26358265 @BJP_Gayathri_R @PrabhaReddykp @kpbrindareddy @mayareddykp @RamyaRa76545427 @Deppaa2 @MonaPatelT @ipriyasinghbjp @sowmiyasid @srjk22 @SherlynChopra Ati sundar nazrein hi nhi hat rhi dono se... Behtareen
23,2022-10-19 17:43:11+00:00,"Deepak sharma aisa journalist hii jisko lag rha AAP- congress me understanding ho gyi hii.. Isiliye RG nhi aa rha... AAP urban semiurban me lad rhi, Congress rural me... Aur dinon milkar BJP ka safaya kar dengi😂😂😂😂"
24,2022-10-19 17:41:59+00:00,@nmanikandaprab4 @Nivshetty @NehaShalini2 @SheetalPronamo @Anubha26358265 @BJP_Gayathri_R @PrabhaReddykp @kpbrindareddy @mayareddykp @RamyaRa76545427 @Deppaa2 @MonaPatelT @ipriyasinghbjp @sowmiyasid @srjk22 @SherlynChopra Bahut badhiya
25,2022-10-19 17:41:53+00:00,"#bjp_model #UPCM #UPPolice

#ShameOnBjp #UttarPradesh https://t.co/MFewJyTWqk"
26,2022-10-19 17:40:07+00:00,@ptshrikant @BJP4India @BJP4UP आपकी कमी खल रही बाकी कुछ कहना अतिश्योक्ति होगा जब आप मंत्री थे तब आपने  मेरे गाँव में लाइट की व्यवस्था थी लेकिन ट्रांसफर खराब था आप तुरंत फोन करके कहा और व्यवस्था हो गई वह कमी आगे खल रही है कुछ कहना अतिश्योक्ति होगा...
27,2022-10-19 17:39:31+00:00,Ye News anchor wohi Jo BJP ko bhaye...aise black and white se ajtak public ko choona lagaye... JP nadda ke bare kya khyal hai @IndiaToday. https://t.co/iDb9Z89FNe
28,2022-10-19 17:37:06+00:00,@Gulshan_Sharma7 @aksharmaBharat @RSSorg @narendramodi @JPNadda @myogiadityanath @Bhupendraupbjp @RajKSinghIndia @sunilbansalbjp @BJP4India @BJP4UP @UPGovt @PMOIndia @MinOfPower @RadhamohanBJP @AmitShah @isomendratomar आपको हुई असुविधा के लिए हमें खेद हैं। आपकी बेहतर सहायता हेतु हम शीघ्र ही आपसे संपर्क करेंगे। धन्यवाद। @PVVNLHQ #upn191022
29,2022-10-19 17:32:56+00:00,@drdineshbjp @narendramodi @JPNadda @AmitShah @myogiadityanath @idharampalsingh @BJP4India @BJP4UP आपका कार्य अति सराहनीय है आप अंतिम व्यक्ति के लिए सदैव खड़े रहते हैं यह सच्चाई है
30,2022-10-19 17:32:50+00:00,"@BhriguVishwaka2 @aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg आपको हुई असुविधा के लिए हमें खेद हैं। आपकी बेहतर सहायता हेतु कृपया अपनी शिकायत संख्या साझा करें, धन्यवाद। #upn191022"
31,2022-10-19 17:32:21+00:00,"RSS, Bajrang Dal, VHP, Hindu Mahasabha, Sudarsan News, Pushpendra Kulshreshtha, BJP IT CELL"
32,2022-10-19 17:31:52+00:00,"#Ban_all_content_of_Durlabh_kashyap
#hypersensitive_matter
#स्वच्छ_भारत_सर्वोत्तम_भारत
सभ्य समाज व सभ्य राष्ट्र निर्माण में अति आवश्यक पहलू,
@ShishirGoUP 
@GoI_MeitY 
@myogioffice 
@BJP4India 
@BJP4UP 
@SeemaDwivediMP 
@RameshMishraMLA https://t.co/gj5XONGbMT"
33,2022-10-19 17:31:29+00:00,@Abhishekayo @myogioffice @myogiadityanath @BJP4UP @BJP4India Achanak??? Kuch bhi
34,2022-10-19 17:30:21+00:00,"@Rakesh_Sachan_ @BJP4India @BJP4UP @BJPMahilaMorcha @anooppradhanbjp निःसंदेह,, सराहनीय मुलाकात,, बधाई।"
35,2022-10-19 17:30:09+00:00,"@UPPCLLKO @Upendraraiupen1 @aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg कृपया अपना संपर्क नंबर साझा करें ताकि उचित कार्यवाही की जा सके। #1912PUVVNL19102022
@puvvnlsknagar"
36,2022-10-19 17:29:09+00:00,@ArunPrayagi @RadhamohanBJP @swatantrabjp @idharampalsingh @BJP4Telangana @BJP4India @BJPMahilaMorcha @gauravbh 🙏🙏🙏
37,2022-10-19 17:28:51+00:00,@SubhamS65303467 @RadhamohanBJP @swatantrabjp @idharampalsingh @BJP4Telangana @BJP4India @BJPMahilaMorcha @gauravbh धन्यवाद जी
38,2022-10-19 17:28:26+00:00,Telangana: BJP creates ruckus over Hindu women ‘forcing’ to remove mangalsutra at exam center https://t.co/CKP395tuiF
39,2022-10-19 17:28:07+00:00,@rekhavermabjp @blsanthosh @BJP4India @BJP4UP @swatantrabjp @myogiadityanath @JPNadda @ArunSinghbjp @dpradhanbjp @dharampalbjpmla @narendramodi @AmitShah https://t.co/qMyex0WeS7
